#,Name,Year,Position,Games,At Bat,Hit,RBI,Walks,Strikeout
2,Michael Salcedo,Fr.,IF,36,144,49,19,6,11
1,Matt Covarrubias,Fr.,IF,40,140,37,17,29,19
26,Edgardo Lorenzo,Fr.,IF,30,119,38,21,6,10
0,Anthony Guzman,Fr.,C,35,111,25,12,12,22
5,Adrian Luna,So.,OF,37,109,31,8,10,10
15,Logan Mikel,Fr.,OF,33,93,24,9,9,24
44,Ryan Duron,Fr.,IF,31,90,22,17,10,7
35,David Castillo,Fr.,OF,29,81,17,11,14,13
16,Carson Slager,Fr.,IF,24,67,13,8,12,13
6,Josh Zarate,Fr.,IF,27,59,12,3,2,11
20,Aaron Torres,Fr.,UTL,26,57,13,7,8,16
11,Ethan Orton,Fr.,OF,19,49,9,8,6,11
17,Gabriel Martinez,Fr.,OF,28,44,8,5,6,16
19,Damien Rodriguez,Fr.,IF,22,43,8,3,4,14
38,Gabriel Lizarraga,Fr.,C,19,40,9,3,0,3
40,Joaquin Gonzalez,Fr.,OF,12,34,7,2,5,11
24,Diego Helguera,Fr.,IF,7,21,7,1,0,2
32,Kenny Hoogerheide,Fr.,IF,12,17,3,2,3,6
23,Dominic Del Hoyo,Fr.,C,13,14,3,4,1,2
18,Jeremiah Sibrian,Fr.,RHP,15,3,0,0,0,2
27,Robby Ornelas,Fr.,RHP,9,0,0,0,0,0